id	question	option1	option2	option3	option4	correctIndex	explanation	bigTopic	module	theme	subtheme	type	imageFile
prop_16s_06	What is the biological function of the 16S rRNA gene in bacteria?	It encodes a metabolic enzyme required for glycolysis	It encodes a structural component of the ribosome needed for translation	It encodes a toxin used for bacterial defense	It encodes a regulatory protein for cell division	2	"The 16S gene does not code for a protein; it codes for the RNA scaffold of the small ribosomal subunit, which is essential for protein synthesis."	16S	QIIME2	Amplicon sequencing	16S rRNA	property	
prop_16s_08	What is the definition of 'Microbiota'?	The combined genetic material of all microbes	The specific viral population in a sample	The bacterial cell wall structure	The community of microorganisms in an environment	4	"Microbiota refers to the actual community of living organisms (bacteria, fungi, viruses) in an environment, distinct from their genes."	16S	QIIME2	Amplicon sequencing	16S rRNA	property	
prop_16s_09	Which scientist is credited with pioneering the use of 16S rRNA for phylogeny?	Charles Darwin	Robert Koch	Louis Pasteur	Carl Woese	4	Carl Woese revolutionized biology by using 16S rRNA sequences to define the domain Archaea and redraw the phylogenetic tree of life.	16S	QIIME2	Amplicon sequencing	16S rRNA	property	
prop_16s_10	What is the difference between Microbiome and Microbiota?	Microbiome refers to genes; Microbiota refers to the organisms	Microbiota refers to genes; Microbiome refers to the organisms	They are exactly the same term	Microbiome is for viruses only; Microbiota is for bacteria	1	"While often used interchangeably, strictly speaking, Microbiota is the organisms, while Microbiome refers to their collective genetic material (genomes)."	16S	QIIME2	Amplicon sequencing	16S rRNA	property	
mile_16s_04	Why is it necessary to target specific regions like V3-V4 (approx 460bp) rather than the whole 16S gene (1500bp) for Illumina sequencing?	The whole gene is too conserved to provide identification	The V3-V4 region is the only variable part	The whole gene cannot be amplified by any type of PCR	Illumina read lengths are too short to span the full gene	4	"Standard Illumina reads (e.g., 2x300bp) are too short to bridge the full 1500bp gene, so we must target smaller sub-regions like V3-V4."	16S	QIIME2	Amplicon sequencing	16S rRNA	milestone	
mile_16s_06	"If you use a primer set that binds to V1 and V3, but your analysis assumes V4, what will happen during taxonomic classification?"	The quality scores will improve	The classification will fail or be incorrect due to database mismatch	The analysis will proceed without errors	The read count will increase	2	"Taxonomic classifiers look for region-specific patterns (k-mers). If you sequence V1-V3 but train the classifier on V4, the patterns won't match, causing failure."	16S	QIIME2	Amplicon sequencing	16S rRNA	milestone	
mile_16s_07	What is 'PCR Bias' in the context of 16S amplicon sequencing?	Random errors introduced by the polymerase	Degradation of DNA during the cycle	Contamination from the environment	Preferential amplification of some taxa over others due to primer affinity	4	"PCR bias occurs because universal primers bind more efficiently to some species than others, causing those taxa to be preferentially amplified and over-represented."	16S	QIIME2	Amplicon sequencing	16S rRNA	milestone	
mile_16s_09	Why can't 16S amplicon sequencing be used to identify viruses in a sample?	Viruses are too small to be sequenced	Viral DNA is not compatible with sequencing technology	Viruses do not contain ribosomes or the 16S rRNA gene	Viral genomes are made of protein	3	"The 16S gene is a component of the bacterial ribosome. Since viruses lack ribosomes, they do not have the 16S gene and cannot be detected."	16S	QIIME2	Amplicon sequencing	16S rRNA	milestone	
post_16s_survey_02	"Why might different studies of the same environment yield different results if they target different V-regions (e.g., V4 vs. V1-V3)?"	One region is always more accurate than the other	The sequencing machine we use changes based on the region	Different regions have different discriminatory power for specific bacterial taxa	The DNA extraction method changes based on the region	3	"V-regions evolve at different rates. V4 might resolve E. coli well, while V1-V3 might be better for other genera, leading to different taxonomic profiles."	16S	QIIME2	Amplicon sequencing	16S rRNA	survey	
post_16s_survey_03	"The 'Universal' primers (e.g., 27F) bind to conserved regions. Are they truly universal for all bacteria?"	"Yes, they bind to every single bacteria on Earth"	"No, some bacteria may have mutations in the binding site preventing amplification"	"Yes, they also bind to Archaea and Eukaryotes"	"No, they only bind to E. coli"	2	"No primer is truly universal. Some bacterial phyla (e.g., Planctomycetes) have mutations in the ""conserved"" sites, causing them to be missed (false negatives)."	16S	QIIME2	Amplicon sequencing	16S rRNA	survey	
post_16s_survey_05	Why is the 16S rRNA gene considered an ideal 'Molecular Clock' for phylogeny?	"It is present in all bacteria, functionally constant, and contains both conserved and variable regions"	It mutates very rapidly to show recent changes only	It is unique to pathogenic bacteria	It is a protein-coding gene subject to selection	1	"It is perfect because it is universal (present in all bacteria) yet accumulates neutral mutations at a slow, constant rate, allowing us to measure evolutionary time."	16S	QIIME2	Amplicon sequencing	16S rRNA	survey	
prop_q2_arch_02	"In the command `qiime tools import`, what role does `tools` play?"	It is the name of the input file	It is the plugin (subset of commands) being called	It is the specific action being performed	It is the name of the output directory	2	"In the standard syntax `qiime <plugin> <action>`, the word `tools` is the plugin responsible for general file operations."	16S	QIIME2	QIIME Foundations	Import & Architecture	property	
prop_q2_arch_03	"Which file extension represents a QIIME 2 Artifact, which contains both data and provenance metadata?"	.txt	.qzv	.fastq	.qza	4	"The `.qza` (QIIME Zipped Artifact) is the core data container, while `.qzv` is for visualization."	16S	QIIME2	QIIME Foundations	Import & Architecture	property	
prop_q2_arch_06	Which Semantic Type (data format specified during import) is appropriate for importing Earth Microbiome Project (EMP) single-end reads?	SampleData[Sequences]	FeatureData[Sequence]	Phylogeny[Rooted]	EMPSingleEndSequences	4	"EMP protocols use a specific multiplexed format, requiring the specific `EMPSingleEndSequences` semantic type for proper import."	16S	QIIME2	QIIME Foundations	Import & Architecture	property	
prop_q2_arch_07	What is the purpose of the `--input-path` part of the 'qiime tools import' command?	To specify the semantic type	To specify where the output artifact will be saved	To specify the directory or file containing the raw data	To specify the format of the input data	3	This flag tells the importer exactly where on the hard drive to find the raw files you want to bring into QIIME 2.	16S	QIIME2	QIIME Foundations	Import & Architecture	property	
prop_q2_arch_09	What is a 'Manifest File' used for during import?	It lists the barcodes for demultiplexing	It maps sample identifiers to their absolute file paths	It assigns taxonomy to sequences	It visualizes the quality scores	2	A manifest allows you to import data where filenames don't follow a standard convention by explicitly linking each file to a Sample ID.	16S	QIIME2	QIIME Foundations	Import & Architecture	property	
prop_q2_arch_10	Which format should be specified when importing a manifest file for single-end reads with Phred33-formatted quality scores?	PairedEndFastqManifestPhred64	SingleEndFastqManifestPhred33V2	EMPSingleEndSequences	FeatureData[Sequence]	2	You must match the format string exactly to your data; `SingleEnd...Phred33V2` tells QIIME to expect one file per sample with modern quality scores.	16S	QIIME2	QIIME Foundations	Import & Architecture	property	
mile_q2_arch_01	You run the following code but get an error: `qiime tools import --type EMPSingleEndSequences --output-path sequences.qza`. What critical flag (command input) is missing?	#NAME?	#NAME?	#NAME?	#NAME?	2	"The command has an output (`--output-path`) and a type, but lacks the input source (`--input-path`), so it has nothing to import."	16S	QIIME2	QIIME Foundations	Import & Architecture	milestone	
mile_q2_arch_04	"You have paired-end data with a manifest. Which Semantic Type (data type, --type) must you strictly use when running 'qiime tools import'?"	FeatureData[Sequence]	SampleData[PairedEndSequencesWithQuality]	SampleData[Sequences]	EMPSingleEndSequences	2	Semantic types are strict; single-end types cannot accept paired-end data. You must use the `PairedEnd...` type definition.	16S	QIIME2	QIIME Foundations	Import & Architecture	milestone	
mile_q2_arch_05	Why is `SampleData[Sequences]` NOT the correct type for importing the Moving Pictures dataset?	The data are already demultiplexed	The data contain no quality scores	The data are paired-end	The data are multiplexed and require the `EMPSingleEndSequences` type	4	The standard `SampleData[Sequences]` type assumes data is *already* demultiplexed. EMP data arrives mixed (multiplexed) and needs a special type to handle it.	16S	QIIME2	QIIME Foundations	Import & Architecture	milestone	
mile_q2_arch_06	You successfully imported your data but forgot the file name. You run `ls` and see `data.qza`. How can you confirm this is the correct artifact?	Run `qiime tools peek data.qza` to see its type and UUID	Run `cat data.qza` to read the text	Run `qiime tools view data.qza`	Run `open data.qza`	1	`peek` allows you to check the metadata (like the UUID) to cross-reference with your lab notebook without needing to open the full visualization.	16S	QIIME2	QIIME Foundations	Import & Architecture	milestone	
mile_q2_arch_07	What is the primary difference between a .qza file and a .qzv file in the QIIME 2 architecture?	.qza contains only metadata; .qzv contains only sequences	.qza is data for intermediate analysis; .qzv is a terminal visualization for humans	.qza is for humans; .qzv is for the computer	.qza is uncompressed; .qzv is compressed	2	"The `.qza` is the ""workhorse"" file for software processing; the `.qzv` is the ""report"" file for human interpretation."	16S	QIIME2	QIIME Foundations	Import & Architecture	milestone	
mile_q2_arch_10	Why does QIIME 2 wrap data in Artifacts (.qza) instead of using standard FASTQ files throughout the pipeline?	To make the files smaller	To prevent you from opening them	To track provenance (history) and ensure interoperability between plugins	To make it harder to use	3	"The Artifact system forces all data to carry its history (provenance) with it, ensuring reproducibility and preventing file format compatibility errors."	16S	QIIME2	QIIME Foundations	Import & Architecture	milestone	
post_arch_survey_04	You have demultiplexed paired-end data in a directory. You try to import it using `--type EMPSingleEndSequences`. Why does QIIME 2 reject this or fail later?	The files are too large	QIIME 2 cannot handle paired-end data	The directory is read-only	"The semantic type does not match the data structure (Paired vs Single, Demux vs Multiplexed)"	4	"QIIME 2 enforces ""Semantic Types""; you cannot trick it into accepting paired, demuxed data when it expects single, multiplexed data."	16S	QIIME2	QIIME Foundations	Survey	post	
post_arch_survey_05	"If you wanted to share your final analysis with a collaborator who does NOT have QIIME 2 installed, what files would you send them?"	The .qza artifact files	The raw FASTQ files	The manifest file	The .qzv visualization files	4	"`.qzv` files are designed to be portable and viewable on any computer using the web-based `view.qiime2.org` tool, requiring no installation."	16S	QIIME2	QIIME Foundations	Survey	post	
prop_q2_dn_01	"According to the module outcomes, what is the primary goal of the 'Denoising' step?"	To cluster sequences into 97% OTUs based on a reference database	To assign taxonomy to every read using a classifier	To trim reads and remove low-quality data to resolve exact Amplicon Sequence Variants (ASVs)	To align reads to a phylogenetic tree	3	Denoising (via DADA2/Deblur) aims to correct or remove errors to identify unique biological sequences (ASVs) rather than clustering them.	16S	QIIME2	QIIME Foundations	Denoising & QC	property	
prop_q2_dn_02	What is the fundamental difference between DADA2 and Deblur algorithms?	DADA2 is for paired-end only; Deblur is for single-end only	DADA2 uses a reference database; Deblur does not	DADA2 detects and corrects errors; Deblur detects and removes error-containing reads	Deblur corrects errors; DADA2 removes error-containing reads	3	"DADA2 uses a probabilistic model to *correct* sequencing errors, while Deblur uses error profiles to *filter out* erroneous reads."	16S	QIIME2	QIIME Foundations	Denoising & QC	property	
prop_q2_dn_03	What does the acronym 'ASV' stand for?	Amplicon Sequence Variant	Average Sequence Value	Amplified Sample Variant	Aligned Sequence Verification	1	"ASV stands for Amplicon Sequence Variant, representing exact biological sequences resolved after denoising."	16S	QIIME2	QIIME Foundations	Denoising & QC	property	
prop_q2_dn_04	Which artifact contains the count (frequencies) of each feature observed in each sample?	The Representative Sequences	The Feature Table	The Denoising Stats	The Phylogenetic Tree	2	The Feature Table is the matrix containing the abundance data (counts) for every feature in every sample.	16S	QIIME2	QIIME Foundations	Denoising & QC	property	
prop_q2_dn_05	Which artifact contains the actual DNA nucleotide string for each identified feature?	Representative Sequences	Feature Table	Metadata	Taxonomy	1	The Representative Sequences artifact maps the Feature ID to the physical ACGT sequence.	16S	QIIME2	QIIME Foundations	Denoising & QC	property	
prop_q2_dn_06	What is a major disadvantage of Operational Taxonomic Units (OTUs) compared to ASVs?	OTUs are computationally slower to calculate	"OTUs are defined by a consensus of multiple variants (97%), losing specific biological resolution"	OTUs require paired-end data	OTUs cannot be used for diversity analysis	2	"OTUs cluster sequences at 97% similarity, meaning distinct biological variants are lumped together into a single consensus unit."	16S	QIIME2	QIIME Foundations	Denoising & QC	property	
prop_q2_dn_07	Why might the quality scores drop towards the 3' end of an Illumina read?	The DNA degrades over time	De-synchronization (phasing) of the clusters accumulates as the cycle number increases	The camera loses focus	The flow cell runs out of nucleotides	2	"As sequencing cycles progress, more strands in a cluster fall out of sync (phase), creating noise that lowers the quality score."	16S	QIIME2	QIIME Foundations	Denoising & QC	property	
prop_q2_dn_08	The technique used to randomly sub-sample reads from each study sample in order to end up with an equal number of reads per sample is called:	Demultiplexing	Denoising	Rarefaction	Interactive Sampling	3	Rarefaction is the process of subsampling without replacement to normalize library sizes.	16S	QIIME2	QIIME Foundations	Denoising & QC	property	
prop_q2_dn_09	"In the context of the QIIME2 workflow, what step immediately precedes Denoising?"	Demultiplexing	Taxonomy Classification	Phylogeny construction	Diversity Analysis	1	Raw sequences must be Demultiplexed (sorted by sample) before they can be denoised.	16S	QIIME2	QIIME Foundations	Denoising & QC	property	
mile_q2_dn_02	"In QIIME 2, the FeatureTable can be used to define the sampling depth. When calculating diversity metrics, the sampling depth should be set to a level where:"	"Samples with lower numbers of reads are excluded from the analysis, while retaining sufficient samples to study the metadata category of interest"	Samples with too many reads are excluded from the analysis	Excluding all samples that don't apply to the metadata category you are interested in	"Samples will lower number of reads are excluded from the analysis, while also excluding samples containing irrelevant metadata"	1	"It is a trade-off: you want the depth high enough to capture diversity, but low enough that you don't throw away too many low-yield samples."	16S	QIIME2	QIIME Foundations	Denoising & QC	milestone	
mile_q2_dn_08	You are comparing your study to a paper published in 2013 that used 97% OTUs. Can you directly compare your ASVs to their OTUs?	"Yes, they are the same"	"No, OTUs rely on reference databases and thresholds"	"Yes, if you divide by 97"	Only if you use Deblur	2	"OTUs are subject to reference bias and clustering algorithms; ASVs are exact. You cannot directly compare ""fuzzy"" clusters to ""exact"" variants."	16S	QIIME2	QIIME Foundations	Denoising & QC	milestone	
mile_q2_dn_09	You run DADA2 and your `stats.qza` shows you lost 90% of reads at the 'Filtering' step. What is the most likely cause?	You trimmed too much	Your primers were missing	Your `--p-trunc-len` included too much low-quality data	Your taxonomy failed	3	"The initial quality filter drops reads that have too many expected errors. If you don't truncate the 'Red Zone' tail, the error rate is too high."	16S	QIIME2	QIIME Foundations	Denoising & QC	milestone	
survey_q2_dn_01	Which statement best summarizes the shift from OTUs to ASVs in microbiome research?	We moved from exact sequences to clusters	We moved away from using 16S	We moved from 'fuzzy' clusters to 'exact' variants	We stopped using quality control	3	"The field moved to ASVs to gain single-nucleotide resolution and reproducibility, avoiding the arbitrary 97% threshold."	16S	QIIME2	QIIME Foundations	Denoising & QC	survey	
survey_q2_dn_02	Why is the `denoising-stats.qza` file helpful when validating your analysis pipeline?	It provides the taxonomy	It reveals exactly where data loss occurred	It provides the PCoA plot	It lists the samples	2	"It is the diagnostic log. If you lose data, this file tells you why (e.g. I lost 50% to chimeras implies a PCR issue)."	16S	QIIME2	QIIME Foundations	Denoising & QC	survey	
survey_q2_dn_03	You are designing an analysis plan. Why would you use ASVs over OTUs?	To run faster	To use less memory	To avoid using a computer	To detect strain-level variation (1-2 nt)	4	"ASVs capture every high-quality biological variant, whereas OTUs lump highly similar sequences together."	16S	QIIME2	QIIME Foundations	Denoising & QC	survey	
prop_tax_bio_01	What is the primary biological function of a taxonomic classifier in microbiome analysis?	To align sequences to a tree	To remove sequencing errors	To predict taxonomy from sequences	To cluster similar reads	3	The classifier compares anonymous DNA sequences to a reference database to predict their most likely scientific name.	16S	QIIME2	Taxonomic diversity	Taxonomy	property	
prop_tax_bio_02	What does the SILVA database primarily contain?	Metabolic pathway maps	16S rRNA sequences	Whole genome sequences	Protein coding sequences	2	SILVA is a curated repository of ribosomal RNA sequences used as the standard reference for bacterial taxonomy.	16S	QIIME2	Taxonomic diversity	Taxonomy	property	
prop_tax_bio_03	Why are 'Mitochondria' sequences often found in 16S amplicon datasets?	They are viral contaminants	They are rare soil bacteria	They are sequencing artifacts	They share ancestry with bacteria	4	"Mitochondria evolved from free-living bacteria (endosymbiosis) and retain 16S-like genes that universal primers amplify. Remember that there are usually non-bacterial cells taken up alongside bacteria, but most do not have 16S genes. For example, gut microbiome samples will contain many human cells."	16S	QIIME2	Taxonomic diversity	Taxonomy	property	
prop_tax_bio_05	What is a 'Rare Feature' in the context of data filtering?	A feature found in all samples	A feature with very low counts	A feature that is unassigned	A feature that is pathogenic	2	"Rare features (e.g., <0.01% abundance) are often indistinguishable from sequencing noise or cross-contamination."	16S	QIIME2	Taxonomic diversity	Taxonomy	property	
prop_tax_bio_06	Which of these is a valid reason to filter samples based on Metadata?	To remove samples with low diversity	To remove samples with high error rates	To remove samples that are irrelevant to your research question	To remove samples with chimeras	3	Metadata filtering allows you to exclude specific experimental groups (like Controls) to focus on relevant comparisons.	16S	QIIME2	Taxonomic diversity	Taxonomy	property	
prop_tax_bio_07	Does assigning taxonomy change the read counts in your Feature Table?	"Yes, it removes unassigned reads"	"Yes, it merges similar features"	"No, it only adds labels to features"	"Yes, it rarefies the samples"	3	Taxonomy assignment is an annotation step; it links names to Feature IDs but does not alter the quantitative count data.	16S	QIIME2	Taxonomic diversity	Taxonomy	property	
prop_tax_bio_09	What does the label 'Unassigned' usually indicate?	The sequence matches E. coli	The sequence is a chimera	The sequence is a virus	The sequence has no good quality match	4	Unassigned means the classifier could not find a reference sequence similar enough to predict a name with confidence.	16S	QIIME2	Taxonomic diversity	Taxonomy	property	
prop_tax_bio_10	Which file is used to 'Train' the taxonomic classifier?	The Feature Table file	The Reference Database file	The Sample Metadata file	The Phylogeny Tree file	2	The classifier learns patterns from a Reference Database (like SILVA) containing known sequences and their taxonomies. The reference sequences are trimmed to cover the exact same region as your trimmed reads.	16S	QIIME2	Taxonomic diversity	Taxonomy	property	
mile_tax_bio_01	You use V4 primers for PCR but train your classifier on the full-length 16S gene. What is the likely outcome?	Accuracy decreases due to pattern mismatch	Accuracy increases due to more information	The analysis fails to run completely	The result is exactly the same	1	The k-mer profile of a short V4 fragment differs from the full gene; matching short reads to long references reduces precision.	16S	QIIME2	Taxonomic diversity	Taxonomy	milestone	
mile_tax_bio_02	"Your primers have a mismatch with *Species D*. According to the diagram, what is the result?"	*Species D* is classified as *Species A*	*Species D* is detected as 'Unassigned'	*Species D* is not amplified or detected	*Species D* is detected with errors	3	"PCR requires physical primer binding. If the primers do not bind, the organism is invisible to the sequencer."	16S	QIIME2	Taxonomic diversity	Taxonomy	milestone	
mile_tax_bio_03	Why is it good to filter rare ASVs before performing statistical testing?	To reduce the multiple testing correction burden	To remove the mitochondrial contamination	To increase the total number of features	To fix the taxonomic assignment errors	1	"Testing thousands of noisy, rare features makes it statistically harder to find significant differences in the real bacteria."	16S	QIIME2	Taxonomic diversity	Taxonomy	milestone	
mile_tax_bio_04	A sample contains 99% 'Mitochondria' reads. What is one way this will affect the bacterial analysis?	It increases the bacterial read count	It improves the diversity estimate	It drastically reduces useful depth	It has no effect on the analysis	3	"Sequencing space is limited. If 99% of reads are host DNA, you have very few reads left to analyze the actual microbiome."	16S	QIIME2	Taxonomic diversity	Taxonomy	milestone	
mile_tax_bio_05	Why is `extract-reads` preferred over using the full database for training?	It aligns short reads to long references	It matches reference length to read length	It removes all chimeras from the database	It adds diversity to the reference set	2	"Training on the exact amplicon region ensures the reference k-mers match the biological k-mers, improving accuracy."	16S	QIIME2	Taxonomic diversity	Taxonomy	milestone	
mile_tax_bio_06	You find 'Chloroplast' sequences in a human gut sample. What is the source?	It is a pathogen	It is dietary DNA	It is a virus	It is human DNA	2	"Chloroplasts come from plants. In gut studies, they typically represent the vegetables the subject ate, not their flora."	16S	QIIME2	Taxonomic diversity	Taxonomy	milestone	
mile_tax_bio_07	"What does an empty taxonomic rank (e.g., `p__Proteobacteria; c__;`) imply?"	The sequence matches a new phylum	The database contains an error	The confidence was too low to assign Class	The sequence is definitely a chimera	3	"The classifier stops assigning names when it is no longer confident, meaning the sequence is too generic or noisy."	16S	QIIME2	Taxonomic diversity	Taxonomy	milestone	
mile_tax_bio_08	How should the 'Truncation Length' for the classifier compare to your data?	It should be much shorter than your reads	It should be much longer than your reads	It should match the biological read length	It does not matter for classification	3	The reference sequences should mimic the physical reads to ensure the k-mer patterns are comparable.	16S	QIIME2	Taxonomic diversity	Taxonomy	milestone	
mile_tax_bio_09	Why might a valid biological sequence be labeled 'Unassigned'?	It is a known pathogen	It is a primer dimer	It is a sequencing error	It represents a novel microbe	4	"Databases are incomplete. 'Unassigned' often represents ""Microbial Dark Matter""—organisms not yet cataloged by science."	16S	QIIME2	Taxonomic diversity	Taxonomy	milestone	
mile_tax_bio_10	What bias is introduced if you do not remove Mitochondria?	It skews relative abundance profiles	It creates false diversity	It removes rare taxa	It causes Phasing	1	"Relative abundance sums to 100%. If 50% is Mitochondria, the abundance of all real bacteria is artificially compressed."	16S	QIIME2	Taxonomic diversity	Taxonomy	milestone	
survey_tax_bio_01	What is the correct order for preparing a classifier?	Train model -> Extract 16S region -> Import database	Extract 16S region -> Import database -> Train model 	Import database -> Extract 16S region -> Train model	Import database -> Train model -> Extract 16S region	3	"You must Import the database, Extract the amplicon region (PCR sim), and then Train the model on those fragments."	16S	QIIME2	Taxonomic diversity	Taxonomy	survey	
survey_tax_bio_03	"If you change PCR primers, what must you do to the classifier?"	"Nothing, it is universal"	Use a different database	Re-train on new primers	Rename the old classifier	3	Classifiers are region-specific. A V4 classifier cannot recognize V1-V3 sequences because the patterns differ.	16S	QIIME2	Taxonomic diversity	Taxonomy	survey	
survey_tax_bio_04	What is the main risk of keeping 'rare features' in your data?	The file size is too big	They inflate diversity metrics	They reduce the read count	They cause taxonomy errors	2	Diversity metrics count every unique feature. Keeping noise (rare errors) creates a falsely high estimate of richness.	16S	QIIME2	Taxonomic diversity	Taxonomy	survey	
prop_tax_q2_02	What is the primary output artifact of the `classify-sklearn` command?	A visualization (`.qzv`) of the barplots	A new Feature Table with taxonomy added	A Taxonomy artifact (`taxonomy.qza`) linking Feature IDs to taxonomic names	A phylogenetic tree	3	The classifier produces a specific `FeatureData[Taxonomy]` artifact (`taxonomy.qza`) that maps each feature hash to a taxonomic string.	16S	QIIME2	Taxonomic diversity	QIIME analysis	property	
prop_tax_q2_03	"To create a visual Taxa Barplot, which two artifacts (files) MUST be provided as inputs?"	Feature Table and Taxonomy	Representative Sequences and Taxonomy	Feature Table and Tree	Metadata and Taxonomy	1	The visualization needs the counts (`table.qza`) to determine bar height and the labels (`taxonomy.qza`) to color-code the segments.	16S	QIIME2	Taxonomic diversity	QIIME analysis	property	
prop_tax_q2_04	What does the command `qiime metadata tabulate` do with the `taxonomy.qza` file?	It filters the taxonomy	It converts it into an interactive visualization (`.qzv`) that can be viewed	It trains the classifier	It merges it with the table	2	This command is used to turn the raw data artifact into a human-readable table (visualization) for inspection.	16S	QIIME2	Taxonomic diversity	QIIME analysis	property	
prop_tax_q2_05	"In the `qiime taxa filter-table` command, what does the parameter `--p-exclude` do?"	It keeps only the taxa that match the term	It removes any feature whose taxonomic annotation contains the specified term	It renames the taxa	It filters based on sample metadata	2	"The `--p-exclude` flag is used to remove unwanted groups, such as ""mitochondria"" or ""chloroplast"", from the feature table."	16S	QIIME2	Taxonomic diversity	QIIME analysis	property	
prop_tax_q2_06	What is the purpose of filtering features based on 'Minimum Frequency' (e.g. < 8 reads)?	To remove samples with low depth	To remove rare ASVs that are likely sequencing errors or non-informative	To remove mitochondria	To remove unassigned taxa	2	Rare features (low total frequency) are often noise; removing them cleans the dataset without losing significant biological information.	16S	QIIME2	Taxonomic diversity	QIIME analysis	property	
prop_tax_q2_07	"Which command is used to filter samples based on metadata criteria (e.g., keeping only 'subject-1')?"	qiime feature-table filter-features	qiime taxa filter-table	qiime feature-table filter-samples	qiime metadata tabulate	3	The `filter-samples` action is specifically designed to subset the table based on conditions found in the metadata file.	16S	QIIME2	Taxonomic diversity	QIIME analysis	property	
